 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets, Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std, Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std, Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min, Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min, Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min, Fwd PSH Flags, Fwd URG Flags, Fwd Header Length, Bwd Header Length, Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance, FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1, Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes, Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward, Active Mean, Active Std, Active Max, Active Min, Idle Mean, Idle Std, Idle Max, Idle Min, Label
123,20246634,26,41,3588,7708,232,23,138.0,233.115,1079,13,188.0,14.998,557.92,3.309,302188.567,0,14550735,3425,20246634,0,0,0,0,0,0,0,0,0,0,0,520,820,1.284,2.025,4,552,118.013,212.26,206713.031,0,0,0,0,0,0,0,0,1.58,582.338,541.377,93.201,520,26,3588,41,7708,65535,-1,25,20,0,0,0,0,0,0,0,0,BENIGN
3389,115221687,69,148,61962,49580,671,35,898.0,326.451,410,6,335.0,232.64,968.064,42.462,530975.516,0,85753515,1539,115221687,0,0,0,0,0,0,0,0,0,0,0,1380,2960,0.599,1.284,23,259,511.06,31.394,14900.292,0,1,0,1,1,0,0,0,2.14,440.418,834.16,350.961,1380,69,61962,148,49580,8192,229,68,20,0,0,0,0,0,0,0,0,DoS Hulk
123,70490682,32,21,30688,13209,189,7,959.0,204.773,377,21,629.0,60.794,622.735,0.752,1330012.868,0,65627517,3454,70490682,0,0,0,0,0,0,0,0,0,0,0,640,420,0.454,0.298,2,1428,106.754,279.038,197273.543,0,0,0,1,1,0,0,0,0.66,637.954,551.158,538.71,640,32,30688,21,13209,65535,-1,31,20,0,0,0,0,0,0,0,0,BENIGN
993,63632402,45,42,7785,6888,674,36,173.0,397.238,952,18,164.0,286.651,230.59,1.367,731406.92,0,59528267,2842,63632402,0,0,0,0,0,0,0,0,0,0,0,900,840,0.707,0.66,1,1005,345.699,305.46,123423.249,0,0,0,1,0,0,0,0,0.93,151.233,252.949,376.217,900,45,7785,42,6888,65535,-1,44,20,0,0,0,0,0,0,0,0,BENIGN
53,73744577,18,8,16578,9328,890,22,921.0,273.089,819,14,1166.0,60.368,351.294,0.353,2836329.885,0,23651544,1239,73744577,0,0,0,0,0,0,0,0,0,0,0,360,160,0.244,0.108,14,1408,240.669,242.481,147280.876,0,0,0,1,1,0,0,0,0.44,43.52,400.294,357.558,360,18,16578,8,9328,29200,229,17,20,0,0,0,0,0,0,0,0,BENIGN
8080,116900890,50,43,59250,36249,857,25,1185.0,41.415,1339,25,843.0,24.899,816.923,0.796,1256998.817,0,9039244,1710,116900890,0,0,0,0,0,0,0,0,0,0,0,1000,860,0.428,0.368,28,392,134.538,300.364,25594.899,0,0,0,0,0,0,0,0,0.86,856.096,567.814,100.471,1000,50,59250,43,36249,8192,65535,49,20,0,0,0,0,0,0,0,0,BENIGN
80,46625836,39,23,39429,6693,1039,29,1011.0,192.158,678,5,291.0,57.647,989.194,1.33,752029.613,0,22993902,2168,46625836,0,0,0,0,0,0,0,0,0,0,0,780,460,0.836,0.493,30,390,484.048,102.608,238005.237,0,0,0,0,1,0,0,0,0.59,633.458,826.165,692.003,780,39,39429,23,6693,29200,-1,38,32,0,0,0,0,0,0,0,0,BENIGN
123,22420003,23,49,11408,55370,1069,21,496.0,254.577,1295,12,1130.0,322.431,2978.501,3.211,311388.931,0,13444737,1857,22420003,0,0,0,0,0,0,0,0,0,0,0,460,980,1.026,2.186,12,1120,463.792,365.502,247400.897,0,0,0,1,1,0,0,0,2.13,262.89,635.569,862.603,460,23,11408,49,55370,65535,235,22,32,0,0,0,0,0,0,0,0,BENIGN
3389,13711301,117,240,51714,175440,1289,0,442.0,191.789,1377,22,731.0,319.857,16566.918,254.281,38407.006,0,1422347,982,13711301,0,0,0,0,0,0,0,0,0,0,0,2340,4800,8.533,17.504,58,855,712.78,375.07,119508.186,0,1,0,0,1,0,0,0,2.05,728.708,875.625,380.421,2340,117,51714,240,175440,65535,-1,116,20,0,0,0,0,0,0,0,0,PortScan
443,3697545,10,37,9930,51171,1292,38,993.0,392.122,1386,22,1383.0,62.365,16524.748,12.711,78671.17,0,2299677,1073,3697545,0,0,0,0,0,0,0,0,0,0,0,200,740,2.704,10.007,1,89,727.447,363.185,25693.013,0,0,0,1,0,0,0,0,3.7,888.433,207.533,791.56,200,10,9930,37,51171,-1,235,9,20,0,0,0,0,0,0,0,0,BENIGN
